r,t,y,SalvageValue
RE1,MINCOA,2020,0.0
RE1,MINCOA,2021,0.0
RE1,MINCOA,2022,0.0
RE1,MINCOA,2023,0.0
RE1,MINCOA,2024,0.0
RE1,MINCOA,2025,0.0
RE1,MINCOA,2026,0.0
RE1,MINCOA,2027,0.0
RE1,MINCOA,2028,0.0
RE1,MINCOA,2029,0.0
RE1,MINCOA,2030,0.0
RE1,MINCOA,2031,0.0
RE1,MINCOA,2032,0.0
RE1,MINCOA,2033,0.0
RE1,MINCOA,2034,0.0
RE1,MINCOA,2035,0.0
RE1,MINCOA,2036,0.0
RE1,MINCOA,2037,0.0
RE1,MINCOA,2038,0.0
RE1,MINCOA,2039,0.0
RE1,MINCOA,2040,0.0
RE1,MINGAS,2020,0.0005
RE1,MINGAS,2021,0.0
RE1,MINGAS,2022,0.0
RE1,MINGAS,2023,0.0
RE1,MINGAS,2024,0.0
RE1,MINGAS,2025,0.0
RE1,MINGAS,2026,0.0
RE1,MINGAS,2027,0.0
RE1,MINGAS,2028,0.0
RE1,MINGAS,2029,0.0
RE1,MINGAS,2030,0.0
RE1,MINGAS,2031,0.0
RE1,MINGAS,2032,0.0
RE1,MINGAS,2033,0.0
RE1,MINGAS,2034,0.0
RE1,MINGAS,2035,0.0
RE1,MINGAS,2036,0.0
RE1,MINGAS,2037,0.0
RE1,MINGAS,2038,0.0001
RE1,MINGAS,2039,0.0001
RE1,MINGAS,2040,0.0001
RE1,MINHYD,2020,0.0
RE1,MINHYD,2021,0.0
RE1,MINHYD,2022,0.0
RE1,MINHYD,2023,0.0
RE1,MINHYD,2024,0.0
RE1,MINHYD,2025,0.0
RE1,MINHYD,2026,0.0
RE1,MINHYD,2027,0.0
RE1,MINHYD,2028,0.0
RE1,MINHYD,2029,0.0
RE1,MINHYD,2030,0.0
RE1,MINHYD,2031,0.0
RE1,MINHYD,2032,0.0
RE1,MINHYD,2033,0.0
RE1,MINHYD,2034,0.0
RE1,MINHYD,2035,0.0
RE1,MINHYD,2036,0.0
RE1,MINHYD,2037,0.0
RE1,MINHYD,2038,0.0
RE1,MINHYD,2039,0.0
RE1,MINHYD,2040,0.0
RE1,MINSOL,2020,0.0001
RE1,MINSOL,2021,0.0
RE1,MINSOL,2022,0.0
RE1,MINSOL,2023,0.0
RE1,MINSOL,2024,0.0
RE1,MINSOL,2025,0.0
RE1,MINSOL,2026,0.0
RE1,MINSOL,2027,0.0
RE1,MINSOL,2028,0.0
RE1,MINSOL,2029,0.0
RE1,MINSOL,2030,0.0
RE1,MINSOL,2031,0.0
RE1,MINSOL,2032,0.0
RE1,MINSOL,2033,0.0
RE1,MINSOL,2034,0.0
RE1,MINSOL,2035,0.0
RE1,MINSOL,2036,0.0
RE1,MINSOL,2037,0.0
RE1,MINSOL,2038,0.0
RE1,MINSOL,2039,0.0
RE1,MINSOL,2040,0.0
RE1,MINWND,2020,0.0
RE1,MINWND,2021,0.0
RE1,MINWND,2022,0.0
RE1,MINWND,2023,0.0
RE1,MINWND,2024,0.0
RE1,MINWND,2025,0.0
RE1,MINWND,2026,0.0
RE1,MINWND,2027,0.0
RE1,MINWND,2028,0.0
RE1,MINWND,2029,0.0
RE1,MINWND,2030,0.0
RE1,MINWND,2031,0.0
RE1,MINWND,2032,0.0
RE1,MINWND,2033,0.0
RE1,MINWND,2034,0.0
RE1,MINWND,2035,0.0
RE1,MINWND,2036,0.0
RE1,MINWND,2037,0.0
RE1,MINWND,2038,0.0
RE1,MINWND,2039,0.0
RE1,MINWND,2040,0.0
RE1,PWRCOA,2020,0.0
RE1,PWRCOA,2021,0.0
RE1,PWRCOA,2022,0.0
RE1,PWRCOA,2023,0.0
RE1,PWRCOA,2024,0.0
RE1,PWRCOA,2025,0.0
RE1,PWRCOA,2026,0.0
RE1,PWRCOA,2027,0.0
RE1,PWRCOA,2028,0.0
RE1,PWRCOA,2029,0.0
RE1,PWRCOA,2030,0.0
RE1,PWRCOA,2031,0.0
RE1,PWRCOA,2032,0.0
RE1,PWRCOA,2033,0.0
RE1,PWRCOA,2034,0.0
RE1,PWRCOA,2035,0.0
RE1,PWRCOA,2036,0.0
RE1,PWRCOA,2037,0.0
RE1,PWRCOA,2038,0.0
RE1,PWRCOA,2039,0.0
RE1,PWRCOA,2040,0.0
RE1,PWRGAS,2020,3116.1321
RE1,PWRGAS,2021,101.5583
RE1,PWRGAS,2022,112.5256
RE1,PWRGAS,2023,123.6711
RE1,PWRGAS,2024,135.0029
RE1,PWRGAS,2025,146.5295
RE1,PWRGAS,2026,158.2595
RE1,PWRGAS,2027,170.2017
RE1,PWRGAS,2028,182.3651
RE1,PWRGAS,2029,194.759
RE1,PWRGAS,2030,207.3929
RE1,PWRGAS,2031,220.2764
RE1,PWRGAS,2032,233.4195
RE1,PWRGAS,2033,246.8324
RE1,PWRGAS,2034,260.5257
RE1,PWRGAS,2035,274.5099
RE1,PWRGAS,2036,288.7962
RE1,PWRGAS,2037,303.3958
RE1,PWRGAS,2038,318.3204
RE1,PWRGAS,2039,333.5818
RE1,PWRGAS,2040,349.1922
RE1,PWRHYD,2020,15531.84
RE1,PWRHYD,2021,467.2768
RE1,PWRHYD,2022,482.5914
RE1,PWRHYD,2023,498.3409
RE1,PWRHYD,2024,514.5385
RE1,PWRHYD,2025,531.1984
RE1,PWRHYD,2026,548.3347
RE1,PWRHYD,2027,565.9623
RE1,PWRHYD,2028,584.0963
RE1,PWRHYD,2029,602.7522
RE1,PWRHYD,2030,621.9463
RE1,PWRHYD,2031,641.6951
RE1,PWRHYD,2032,662.0155
RE1,PWRHYD,2033,682.9251
RE1,PWRHYD,2034,704.4421
RE1,PWRHYD,2035,726.585
RE1,PWRHYD,2036,749.3729
RE1,PWRHYD,2037,772.8256
RE1,PWRHYD,2038,796.9634
RE1,PWRHYD,2039,821.8071
RE1,PWRHYD,2040,847.3784
RE1,PWRSOL,2020,0.0
RE1,PWRSOL,2021,0.0
RE1,PWRSOL,2022,3.4433
RE1,PWRSOL,2023,6.9242
RE1,PWRSOL,2024,10.4453
RE1,PWRSOL,2025,14.0089
RE1,PWRSOL,2026,17.6174
RE1,PWRSOL,2027,21.2735
RE1,PWRSOL,2028,24.9798
RE1,PWRSOL,2029,28.7387
RE1,PWRSOL,2030,32.5531
RE1,PWRSOL,2031,36.4257
RE1,PWRSOL,2032,40.3594
RE1,PWRSOL,2033,44.3569
RE1,PWRSOL,2034,48.4213
RE1,PWRSOL,2035,52.5555
RE1,PWRSOL,2036,56.7627
RE1,PWRSOL,2037,61.0459
RE1,PWRSOL,2038,65.4086
RE1,PWRSOL,2039,69.8539
RE1,PWRSOL,2040,1488.4141
RE1,PWRTRN,2020,9745.0205
RE1,PWRTRN,2021,296.8182
RE1,PWRTRN,2022,310.1051
RE1,PWRTRN,2023,323.7073
RE1,PWRTRN,2024,337.6356
RE1,PWRTRN,2025,351.9014
RE1,PWRTRN,2026,366.5164
RE1,PWRTRN,2027,381.4925
RE1,PWRTRN,2028,396.8422
RE1,PWRTRN,2029,412.5779
RE1,PWRTRN,2030,428.7127
RE1,PWRTRN,2031,445.2601
RE1,PWRTRN,2032,462.2336
RE1,PWRTRN,2033,479.6474
RE1,PWRTRN,2034,497.5162
RE1,PWRTRN,2035,515.8547
RE1,PWRTRN,2036,534.6783
RE1,PWRTRN,2037,554.0029
RE1,PWRTRN,2038,573.8447
RE1,PWRTRN,2039,594.2204
RE1,PWRTRN,2040,615.1471
RE1,PWRWND,2020,0.0
RE1,PWRWND,2021,0.0
RE1,PWRWND,2022,0.0
RE1,PWRWND,2023,0.0
RE1,PWRWND,2024,0.0
RE1,PWRWND,2025,0.0
RE1,PWRWND,2026,0.0
RE1,PWRWND,2027,0.0
RE1,PWRWND,2028,0.0
RE1,PWRWND,2029,0.0
RE1,PWRWND,2030,0.0
RE1,PWRWND,2031,0.0
RE1,PWRWND,2032,0.0
RE1,PWRWND,2033,0.0
RE1,PWRWND,2034,0.0
